x,y,radius_px,sigma,score
323,207,3.26,2.30,0.394076
269,211,3.91,2.76,0.388976
306,214,3.26,2.30,0.388973
303,239,5.63,3.98,0.381645
224,242,4.69,3.32,0.380023
345,229,4.69,3.32,0.378318
119,222,4.69,3.32,0.374949
241,279,5.63,3.98,0.373698
150,229,5.63,3.98,0.367734
243,201,2.72,1.92,0.366807
72,221,3.26,2.30,0.366606
91,214,3.26,2.30,0.365219
324,224,4.69,3.32,0.364940
106,255,8.11,5.73,0.362248
189,240,6.76,4.78,0.357268
161,290,5.63,3.98,0.355494
254,219,3.91,2.76,0.355204
302,198,2.72,1.92,0.352367
258,209,2.26,1.60,0.351684
48,210,2.72,1.92,0.351483
181,201,2.26,1.60,0.351299
178,261,8.11,5.73,0.350792
70,286,5.63,3.98,0.347584
289,218,2.72,1.92,0.347543
282,338,9.73,6.88,0.346909
63,243,6.76,4.78,0.346396
96,237,3.91,2.76,0.345742
87,228,2.72,1.92,0.343650
179,327,8.11,5.73,0.342916
274,258,6.76,4.78,0.342462
0,275,9.73,6.88,0.340990
75,203,2.72,1.92,0.340192
111,204,2.26,1.60,0.339623
353,219,2.72,1.92,0.337571
177,220,3.26,2.30,0.333935
23,217,2.72,1.92,0.331879
38,200,2.26,1.60,0.325227
176,211,2.72,1.92,0.314455
231,191,2.26,1.60,0.312299
58,229,3.26,2.30,0.309608
58,274,4.69,3.32,0.303742
121,177,3.91,2.76,0.302540
53,174,8.11,5.73,0.301332
85,199,2.26,1.60,0.298722
54,219,2.26,1.60,0.297894
112,269,5.63,3.98,0.291535
214,207,2.26,1.60,0.290282
73,211,2.26,1.60,0.289255
57,276,3.91,2.76,0.288822
19,251,6.76,4.78,0.288008
68,251,3.26,2.30,0.287047
347,237,3.26,2.30,0.285706
186,272,4.69,3.32,0.282887
313,160,5.63,3.98,0.282533
244,216,2.72,1.92,0.280886
225,251,3.26,2.30,0.280133
245,217,2.26,1.60,0.279155
196,208,2.26,1.60,0.275947
117,211,2.26,1.60,0.275615
13,286,5.63,3.98,0.275217
310,246,4.69,3.32,0.274650
166,309,4.69,3.32,0.273424
257,226,3.26,2.30,0.272187
282,265,4.69,3.32,0.271187
203,214,2.72,1.92,0.270893
100,211,2.26,1.60,0.266850
274,317,2.26,1.60,0.266750
58,196,2.26,1.60,0.266662
162,302,4.69,3.32,0.265983
119,257,4.69,3.32,0.264641
0,291,6.76,4.78,0.262953
118,259,5.63,3.98,0.262535
314,197,2.26,1.60,0.261684
187,174,6.76,4.78,0.260311
187,341,8.11,5.73,0.259993
277,164,3.26,2.30,0.258686
62,271,3.91,2.76,0.258434
194,202,2.26,1.60,0.258215
232,282,3.26,2.30,0.258141
73,245,3.91,2.76,0.257499
117,262,5.63,3.98,0.256770
270,359,3.91,2.76,0.255445
167,195,2.26,1.60,0.255422
316,213,2.26,1.60,0.253998
242,289,4.69,3.32,0.253216
28,233,2.26,1.60,0.252545
164,324,6.76,4.78,0.252537
268,347,6.76,4.78,0.251954
123,227,2.72,1.92,0.251653
52,163,3.26,2.30,0.251277
151,238,3.91,2.76,0.250369
239,289,4.69,3.32,0.249710
339,217,2.26,1.60,0.249574
300,247,3.91,2.76,0.249278
223,174,9.73,6.88,0.249276
273,269,3.91,2.76,0.249255
96,266,5.63,3.98,0.248542
247,221,2.26,1.60,0.248144
298,246,3.91,2.76,0.248115
260,339,2.26,1.60,0.246964
118,230,2.72,1.92,0.246754
293,169,16.81,11.89,0.246712
267,267,3.91,2.76,0.246502
196,192,2.26,1.60,0.246274
158,327,2.72,1.92,0.245332
167,338,6.76,4.78,0.245244
64,296,5.63,3.98,0.244919
337,164,16.81,11.89,0.244762
170,289,4.69,3.32,0.244514
247,286,3.91,2.76,0.243574
198,247,3.91,2.76,0.243467
77,223,2.26,1.60,0.242981
306,161,2.26,1.60,0.242410
160,331,2.26,1.60,0.241504
231,245,3.91,2.76,0.241428
64,272,2.72,1.92,0.241420
160,295,3.91,2.76,0.241305
299,345,8.11,5.73,0.241213
63,276,2.26,1.60,0.240371
94,218,2.26,1.60,0.240361
154,283,3.26,2.30,0.240182
190,253,5.63,3.98,0.239668
254,174,9.73,6.88,0.239240
199,238,3.26,2.30,0.238523
260,331,2.26,1.60,0.237959
151,287,4.69,3.32,0.237587
162,215,2.26,1.60,0.237398
0,253,4.69,3.32,0.236743
298,201,2.26,1.60,0.235486
359,147,2.72,1.92,0.234999
324,233,3.26,2.30,0.234946
295,152,4.69,3.32,0.234881
150,178,3.26,2.30,0.234716
231,287,2.26,1.60,0.234326
166,255,5.63,3.98,0.234309
158,226,3.26,2.30,0.233692
18,179,5.63,3.98,0.233441
226,234,3.91,2.76,0.233347
204,174,6.76,4.78,0.233208
60,292,6.76,4.78,0.233044
250,207,2.72,1.92,0.231907
77,216,2.72,1.92,0.231887
309,233,3.26,2.30,0.231233
317,223,2.72,1.92,0.231179
297,153,6.76,4.78,0.230922
169,294,3.91,2.76,0.230839
72,297,4.69,3.32,0.230764
304,219,2.26,1.60,0.230105
114,194,2.26,1.60,0.229348
53,207,2.72,1.92,0.228799
288,222,2.26,1.60,0.228685
265,332,8.11,5.73,0.228381
74,296,4.69,3.32,0.227749
302,218,2.72,1.92,0.227544
154,213,2.26,1.60,0.227094
270,318,3.26,2.30,0.226886
239,199,2.26,1.60,0.226877
160,323,2.72,1.92,0.226698
315,164,2.26,1.60,0.226626
295,327,6.76,4.78,0.226426
156,328,3.91,2.76,0.226321
237,270,3.91,2.76,0.225995
241,284,2.72,1.92,0.225942
151,294,3.91,2.76,0.225837
7,233,2.26,1.60,0.225407
301,217,2.26,1.60,0.225336
9,276,5.63,3.98,0.224902
310,192,2.26,1.60,0.224663
183,220,2.72,1.92,0.224230
70,231,2.26,1.60,0.223781
284,217,2.26,1.60,0.223740
100,194,2.26,1.60,0.223676
269,218,2.72,1.92,0.223026
284,190,2.26,1.60,0.222685
340,234,2.72,1.92,0.222194
